accident_severity,number_of_casualties,crash_type,driver_alcohol,driver_age,driver_experience,weather_conditions,road_light_condition,traffic_density,road_conditions,time_of_day,road_defect,road_type,intersection_related,speed_limit,vehicle_type,vehicle_age,maintenance_required,failure_history,brake_condition,source
slight,1.0,,,,,fine no high winds,daylight,,dry,13:20,,single carriageway,t or staggered junction,30.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:10,,single carriageway,more than 4 arms (not roundabout),30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:18,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,17:45,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:20,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:05,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,15:51,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,23:05,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:20,,dual carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:40,,dual carriageway,crossroads,40.0,motorcycle over 125cc and up to 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,22:20,,dual carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:20,,single carriageway,t or staggered junction,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:50,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:15,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,4:35,,single carriageway,more than 4 arms (not roundabout),30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,15:07,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,2:10,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,dry,18:47,,single carriageway,not at junction or within 20 metres,60.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:45,,single carriageway,t or staggered junction,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,3:16,,single carriageway,t or staggered junction,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:42,,roundabout,roundabout,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,other,darkness - lights lit,,wet or damp,21:36,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:20,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:00,,single carriageway,crossroads,60.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,8:45,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:05,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:25,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:50,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,15:52,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:51,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:35,,dual carriageway,more than 4 arms (not roundabout),40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:45,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - no lighting,,wet or damp,19:47,,dual carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,7:05,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:40,,single carriageway,other junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,15:25,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:35,,single carriageway,not at junction or within 20 metres,30.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:45,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:01,,single carriageway,not at junction or within 20 metres,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,6:50,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,6:45,,single carriageway,t or staggered junction,30.0,goods over 3.5t. and under 7.5t,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,19:50,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,7:20,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:10,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,4:20,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,8:21,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:07,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine + high winds,darkness - lights lit,,dry,17:09,,single carriageway,t or staggered junction,30.0,bus or coach (17 or more pass seats),,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:45,,dual carriageway,t or staggered junction,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:45,,roundabout,roundabout,30.0,taxi/private hire car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,dry,1:25,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,7:59,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:12,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,18:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:20,,one way street,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:43,,single carriageway,t or staggered junction,30.0,other vehicle,,,,,dataset1_road_accident
slight,1.0,,,,,snowing no high winds,daylight,,frost or ice,7:35,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,unknown,daylight,,wet or damp,8:45,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,7:19,,roundabout,roundabout,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:02,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,20:40,,single carriageway,crossroads,30.0,goods over 3.5t. and under 7.5t,,,,,dataset1_road_accident
slight,1.0,,,,,unknown,daylight,,dry,21:10,,dual carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,20:50,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,0:53,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,8:38,,single carriageway,not at junction or within 20 metres,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:55,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:15,,single carriageway,t or staggered junction,30.0,motorcycle over 125cc and up to 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,6:00,,single carriageway,crossroads,30.0,goods over 3.5t. and under 7.5t,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,11:00,,single carriageway,not at junction or within 20 metres,60.0,motorcycle 50cc and under,,,,,dataset1_road_accident
serious,1.0,,,,,raining + high winds,darkness - no lighting,,wet or damp,17:35,,single carriageway,not at junction or within 20 metres,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,wet or damp,21:48,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,15:00,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,18:00,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,7:37,,dual carriageway,slip road,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,18:20,,one way street,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,8:45,,one way street,private drive or entrance,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,dry,17:40,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:56,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:15,,one way street,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,9:05,,single carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:50,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:35,,roundabout,roundabout,50.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:00,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:16,,single carriageway,t or staggered junction,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:00,,single carriageway,t or staggered junction,30.0,minibus (8 - 16 passenger seats),,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:04,,single carriageway,crossroads,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:00,,single carriageway,crossroads,30.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:30,,dual carriageway,crossroads,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,9:40,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,21:15,,single carriageway,not at junction or within 20 metres,30.0,taxi/private hire car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:00,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,frost or ice,8:54,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,18:20,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:15,,dual carriageway,not at junction or within 20 metres,70.0,taxi/private hire car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:45,,single carriageway,t or staggered junction,40.0,motorcycle 50cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:41,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,15:00,,dual carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,22:10,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,frost or ice,11:38,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,other,daylight,,frost or ice,8:43,,single carriageway,t or staggered junction,30.0,motorcycle over 125cc and up to 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:45,,single carriageway,t or staggered junction,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:30,,dual carriageway,not at junction or within 20 metres,70.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,raining + high winds,daylight,,wet or damp,7:50,,single carriageway,t or staggered junction,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
fatal,1.0,,,,,fine no high winds,daylight,,dry,18:27,,single carriageway,crossroads,30.0,goods over 3.5t. and under 7.5t,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:28,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:50,,single carriageway,crossroads,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:43,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:54,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,7:20,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:15,,roundabout,roundabout,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,18:19,,dual carriageway,slip road,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:36,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:00,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,23:40,,single carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:14,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,18:03,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:01,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,7:10,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:49,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fog or mist,darkness - lights lit,,dry,17:15,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,12:01,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:10,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,14:38,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:31,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lighting unknown,,dry,21:26,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - no lighting,,wet or damp,17:40,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:25,,roundabout,roundabout,60.0,bus or coach (17 or more pass seats),,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,dry,3:10,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:25,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:00,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,raining no high winds,daylight,,wet or damp,8:20,,single carriageway,not at junction or within 20 metres,60.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:51,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:55,,dual carriageway,not at junction or within 20 metres,70.0,agricultural vehicle,,,,,dataset1_road_accident
slight,1.0,,,,,other,daylight,,frost or ice,10:15,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:34,,dual carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:00,,single carriageway,not at junction or within 20 metres,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,6:31,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:00,,dual carriageway,not at junction or within 20 metres,70.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:25,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:40,,single carriageway,crossroads,30.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,other,darkness - no lighting,,frost or ice,18:25,,single carriageway,not at junction or within 20 metres,40.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,1:28,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:15,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:00,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining + high winds,darkness - lights lit,,flood over 3cm. deep,7:07,,roundabout,roundabout,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,7:35,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,19:40,,roundabout,roundabout,40.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,10:30,,roundabout,roundabout,40.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine + high winds,daylight,,dry,15:25,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,dry,20:27,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,unknown,daylight,,dry,14:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,12:33,,single carriageway,not at junction or within 20 metres,60.0,taxi/private hire car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,dry,22:08,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:15,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:43,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,12:30,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,23:55,,dual carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:10,,single carriageway,t or staggered junction,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,19:12,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:15,,single carriageway,crossroads,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - no lighting,,wet or damp,19:00,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:00,,slip road,roundabout,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,unknown,daylight,,dry,14:25,,dual carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:30,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,11:30,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,snowing no high winds,darkness - lights lit,,snow,16:20,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,11:55,,single carriageway,not at junction or within 20 metres,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
fatal,1.0,,,,,fine no high winds,daylight,,dry,9:45,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining + high winds,darkness - lights lit,,wet or damp,20:30,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,other,darkness - lights lit,,wet or damp,22:40,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,7:20,,single carriageway,more than 4 arms (not roundabout),40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,14:10,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:36,,dual carriageway,not at junction or within 20 metres,40.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,17:40,,single carriageway,not at junction or within 20 metres,30.0,bus or coach (17 or more pass seats),,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,19:40,,dual carriageway,not at junction or within 20 metres,70.0,motorcycle over 125cc and up to 500cc,,,,,dataset1_road_accident
serious,1.0,,,,,raining no high winds,darkness - lights lit,,flood over 3cm. deep,6:30,,roundabout,roundabout,40.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,raining + high winds,darkness - lighting unknown,,wet or damp,17:40,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:30,,single carriageway,other junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:07,,dual carriageway,crossroads,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:15,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,wet or damp,9:26,,single carriageway,t or staggered junction,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,5:15,,single carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:00,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,14:50,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,3:50,,single carriageway,not at junction or within 20 metres,60.0,minibus (8 - 16 passenger seats),,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:50,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,19:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,11:50,,single carriageway,other junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:20,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,9:21,,single carriageway,not at junction or within 20 metres,60.0,bus or coach (17 or more pass seats),,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:15,,single carriageway,not at junction or within 20 metres,30.0,motorcycle over 125cc and up to 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:05,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:42,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
